primitive,short_description,search_terms,observer,turtles,patches,links,utilities,see_also,library_models,,,,,,,,,,,,,,,,
forward,Allows turtles to move in any number of units on a straight path.,"move, motion, straight, go, around, position, location, step, walk, jog",FALSE,TRUE,FALSE,FALSE,FALSE,"right, heading, turtles, move-to","Bidding Market, Vector Fields, CRISPR Ecosystem, Wolf Sheep Predation",,,,,,,,,,,,,,,,
fd,Allows turtles to move in any number of units on a straight path.,"move, motion, straight, go, around, position, location, step, walk, jog",FALSE,TRUE,FALSE,FALSE,FALSE,"right, heading, turtles, move-to","Bidding Market, Vector Fields, CRISPR Ecosystem, Wolf Sheep Predation",,,,,,,,,,,,,,,,
globals,Defines variables that can be accessed throughout the whole model and has the same value for all the agents.,"variable, scope, universal, constant",TRUE,FALSE,FALSE,FALSE,FALSE,"turtles-own, patches-own, set, let","Shepherds, HIV, Giant Component, Fruit Wars",,,,,,,,,,,,,,,,
hatch,Allows a turtle to make any number of new turtles that are identical to itself.,"birth, new, create, conceive, spawn, generate, make, parent",FALSE,TRUE,FALSE,FALSE,FALSE,"sprout, create-turtles, die, ask","Chaos in a Box, Reactor Top Down, Voronoi, Galton Box",,,,,,,,,,,,,,,,
if,Carries out a provided set of rules (code) if a given condition is true. Does nothing if a given condition is false.,"condition, true, false, branch",FALSE,FALSE,FALSE,FALSE,TRUE,"ifelse, ifelse-value, any?, all?","Reactor X-Section, Sand, DLA Alternate Linear, ",,,,,,,,,,,,,,,,
ifelse,"Carries out one set of rules if a given condition is true, and another set of rules if a given condition is false.","condition, true, false, branch, otherwise",FALSE,FALSE,FALSE,FALSE,TRUE,"if, ifelse-value, or, and","Crystallization Basic, Rebellion, Hotelling's Law, Traffic Grid",,,,,,,,,,,,,,,,
ifelse-value,Picks a value based on a provided list of condition-value pairs.,"switch, case, condition, otherwise",FALSE,FALSE,FALSE,FALSE,TRUE,"if, if-else, or, globals","Echo, Virus, Sunflower Emergent, DLA Alternate",,,,,,,,,,,,,,,,
in-cone,"Reports members of an agentset within a ""cone-of-vision"" of an agent.","see, vision, detect, near",FALSE,TRUE,FALSE,FALSE,FALSE,"in-radius, other, neighbors, with","Flocking Vee Formations, BeeSmart Hive Finding, Bug Hunt Speeds, Flocking",,,,,,,,,,,,,,,,
in-radius,Reports members of an agentset within a certain radius of an agent.,"around, near, circle, detect, see, vision",FALSE,TRUE,TRUE,FALSE,FALSE,"in-cone, other, neighbors, with","GasLab Circular Particles, Paths, Fruit Wars, Fairy Circles",,,,,,,,,,,,,,,,
layout-circle,Places turtles in a circle circle around the center of the world.,"formation, arrangement, ring, link",TRUE,FALSE,FALSE,FALSE,FALSE,"links, link-neighbors, create-links-with, setxy, move-to","Planarity, Giant Component, Small Worlds",,,,,,,,,,,,,,,,
left,Turns a turtle certain amount of degrees to the left.,"turn, angle, direction, orientation, twist, rotate",FALSE,TRUE,FALSE,FALSE,FALSE,"right, set, face, forward","Mammoths, Tumor, Flocking, Slime",,,,,,,,,,,,,,,,
let,Creates a local variable that only exists within just one procedure or a statement surrended with brackets (`[  ]`).,"variable, local, declare, value, constant, temporary",FALSE,FALSE,FALSE,FALSE,TRUE,"turtles-own, patches-own, globals, set","Disease Solo, Sand, Lennard-Jones, Boiling",,,,,,,,,,,,,,,,
link-neighbors,Reports all agents connected to a turtle with links.,"connect, network, web, complex, relation, social",FALSE,TRUE,FALSE,FALSE,FALSE,"create-links-with, links, any?, count","Membrane Formation, Giant Component, Small Worlds, Language Change",,,,,,,,,,,,,,,,
links,Reports an agentset that contains all the links in a model.,"connect, network, web, complex, relation, social",FALSE,FALSE,FALSE,TRUE,FALSE,"link-neighbors, turtles, patches, create-links-with","Virus on a Network, Preferential Attachment, Team Assembly, Small Worlds",,,,,,,,,,,,,,,,
max,Reports the highest value in a provided list.,"big, high, largest, most, top",FALSE,FALSE,FALSE,FALSE,TRUE,"count, min, mean, mod","Mimicry, Ant Lines, Grand Canyon, Fruit Wars",,,,,,,,,,,,,,,,
max-n-of,Reports a list of top values in a provided list.,"big, high, largest, most, top",FALSE,FALSE,FALSE,FALSE,TRUE,"one-of, max, min, count","Simple Economy, Simple Viral Marketing",,,,,,,,,,,,,,,,
max-pxcor,Reports the largest x-coordinate of the patches in a midel.,"patch, coordinate, x, axis, world, view, west",FALSE,FALSE,FALSE,FALSE,TRUE,"min-pxcor, min-pycor, move-to, setxy","Urban Suite - Economic Disparity, DLA, Traffic Grid Goal",,,,,,,,,,,,,,,,
