title,href,short_description,main-page
Disease model from scratch,disease.mp4,Let's create a simple infectious disease model from scratch.,TRUE
Forest fire model from scratch,fire.mp4,Learn how to use patches to model the spread of a forest fire.,TRUE
Information spread over a network,information-network.mp4,Create a network of turtles in NetLogo and move information over it.,TRUE
Exploring the Models Library,modelslibrary.mp4,NetLogo's Models Library is an invaluable resource. Learn how to access it.,TRUE
